aspect,kappa,res_size,noise_model,seed,effective_kappa,method,final_be,pass_fail,iters_to_stable
10,1000.0,1e-10,a_and_b,30003,363.3271641883555,qr_ref,3.993876188769922e-16,1,0
10,1000.0,1e-10,a_and_b,40004,364.40025243286516,iter_sketch_mom,3.86103502436964e-15,0,
10,1000.0,1e-10,a_and_b,40004,364.40025243286516,sketch_pre_cold,6.639661952005572e-10,0,
10,1000.0,1e-10,a_and_b,40004,364.40025243286516,sketch_pre_warm,4.02111297063387e-13,0,
10,1000.0,1e-10,a_and_b,40004,364.40025243286516,spir,1.4513752742717854e-17,1,20
10,1000.0,1e-10,a_and_b,40004,364.40025243286516,qr_ref,1.9693029665516704e-16,1,0
10,1000000.0,0.01,b_only,32439,1000000.0,iter_sketch_mom,2.609740745565449e-15,0,
10,1000000.0,0.01,b_only,32439,1000000.0,sketch_pre_cold,6.141101256695361e-10,0,
10,1000000.0,0.01,b_only,32439,1000000.0,sketch_pre_warm,2.490564066890045e-17,1,19
10,1000000.0,0.01,b_only,32439,1000000.0,spir,1.3122896906606184e-17,1,10
10,1000000.0,0.01,b_only,32439,1000000.0,qr_ref,1.7955221928310404e-16,1,0
10,1000000.0,0.01,b_only,10001,1000000.0,iter_sketch_mom,3.4701379568497916e-15,0,
10,1000000.0,0.01,b_only,10001,1000000.0,sketch_pre_cold,3.572366294093468e-10,0,
10,1000000.0,0.01,b_only,10001,1000000.0,sketch_pre_warm,3.0324921108918464e-17,1,18
10,1000000.0,0.01,b_only,10001,1000000.0,spir,1.827286030671932e-17,1,11
10,1000000.0,0.01,b_only,10001,1000000.0,qr_ref,1.180931473610751e-16,1,0
10,1000000.0,0.01,b_only,20002,1000000.0,iter_sketch_mom,2.7105348469774027e-15,0,
10,1000000.0,0.01,b_only,20002,1000000.0,sketch_pre_cold,1.2622796669678389e-09,0,
10,1000000.0,0.01,b_only,20002,1000000.0,sketch_pre_warm,2.7386795778797965e-17,1,17
10,1000000.0,0.01,b_only,20002,1000000.0,spir,1.140415467894135e-17,1,10
10,1000000.0,0.01,b_only,20002,1000000.0,qr_ref,2.0678387517711963e-16,1,0
10,1000000.0,0.01,b_only,40004,1000000.0,iter_sketch_mom,8.889711294292796e-14,0,
10,1000000.0,0.01,b_only,40004,1000000.0,sketch_pre_cold,7.595094875674586e-10,0,
10,1000000.0,0.01,b_only,40004,1000000.0,sketch_pre_warm,3.1201538550341204e-17,1,18
10,1000000.0,0.01,b_only,40004,1000000.0,spir,1.2949564284130488e-17,1,10
10,1000000.0,0.01,b_only,40004,1000000.0,qr_ref,2.3892218191758483e-16,1,0
10,1000000.0,0.01,b_only,30003,1000000.0,iter_sketch_mom,5.941844788631342e-15,0,
10,1000000.0,0.01,b_only,30003,1000000.0,sketch_pre_cold,4.690117140446486e-10,0,
10,1000000.0,0.01,b_only,30003,1000000.0,sketch_pre_warm,1.9200498012519524e-17,1,17
10,1000000.0,0.01,b_only,30003,1000000.0,spir,1.3033172224715755e-17,1,10
10,1000000.0,0.01,b_only,30003,1000000.0,qr_ref,2.0168842161281929e-16,1,0
