dataset_id,dataset_family,noise_model,seed,m,n,m_over_n,density,condition_proxy,column_norm_ratio,numerical_rank,full_column_rank,effective_kappa,method,final_be,pass_fail,iters_to_stable
well1033,suitesparse,b_only,40004,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,320,1,166.1333397554267,fossils,6.295218360971003e-18,1,
well1033,suitesparse,b_only,40004,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,320,1,166.1333397554267,spir,5.680449695852549e-18,1,14
well1033,suitesparse,b_only,40004,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,320,1,166.1333397554267,qr_ref,1.7203058839215472e-16,1,0
well1033,suitesparse,a_and_b,32439,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,320,1,131.1491445203109,sketch_solve,0.00018917044801905662,0,
well1033,suitesparse,a_and_b,32439,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,320,1,131.1491445203109,iter_sketch_mom,1.950653108030083e-15,0,
well1033,suitesparse,a_and_b,32439,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,320,1,131.1491445203109,sketch_pre_cold,5.642812012985317e-10,0,
well1033,suitesparse,a_and_b,32439,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,320,1,131.1491445203109,sketch_pre_warm,2.184774537858938e-12,0,
well1033,suitesparse,a_and_b,32439,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,320,1,131.1491445203109,fossils,8.164228100891113e-14,0,
well1033,suitesparse,a_and_b,32439,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,320,1,131.1491445203109,spir,1.7374475039727082e-17,1,
well1033,suitesparse,a_and_b,32439,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,320,1,131.1491445203109,qr_ref,1.438778332904607e-16,1,0
well1033,suitesparse,a_and_b,10001,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,320,1,133.79509749985684,sketch_solve,0.00020839360716525207,0,
well1033,suitesparse,a_and_b,10001,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,320,1,133.79509749985684,iter_sketch_mom,2.7799153485680893e-15,0,
well1033,suitesparse,a_and_b,10001,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,320,1,133.79509749985684,sketch_pre_cold,9.39055877069567e-10,0,
well1033,suitesparse,a_and_b,10001,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,320,1,133.79509749985684,sketch_pre_warm,1.9796496327287957e-12,0,
well1033,suitesparse,a_and_b,10001,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,320,1,133.79509749985684,fossils,3.2206334166401682e-15,0,
well1033,suitesparse,a_and_b,10001,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,320,1,133.79509749985684,spir,1.6953046473522952e-17,1,
well1033,suitesparse,a_and_b,10001,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,320,1,133.79509749985684,qr_ref,1.7397334156010153e-16,1,0
well1033,suitesparse,a_and_b,20002,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,320,1,129.38660167327967,sketch_solve,0.00018006017475981497,0,
well1033,suitesparse,a_and_b,20002,1033,320,3.228125,0.014315101645692158,166.1333397554267,1.0000000007523888,320,1,129.38660167327967,iter_sketch_mom,1.835229315389585e-15,0,
