study,aspect,kappa,res_size,noise_model,seed,effective_kappa,method,final_be,pass_fail,iters_to_stable
warm_start_followup,10,1000.0,0.01,b_only,110011,1000.0,iter_sketch_mom,4.839041909602345e-15,0,
warm_start_followup,10,1000.0,0.01,b_only,110011,1000.0,sketch_pre_cold,2.421393314820121e-09,0,
warm_start_followup,10,1000.0,0.01,b_only,110011,1000.0,sketch_pre_warm,2.5204146168573275e-15,0,
warm_start_followup,10,1000.0,0.01,b_only,110011,1000.0,fossils,1.495389791132033e-17,1,
warm_start_followup,10,1000.0,0.01,b_only,110011,1000.0,spir,1.1390567943370309e-17,1,14
warm_start_followup,10,1000.0,0.01,b_only,110011,1000.0,qr_ref,3.22905945249654e-16,1,0
warm_start_followup,10,1000.0,0.01,b_only,120012,1000.0,sketch_solve,2.187473548107325e-07,0,
warm_start_followup,10,1000.0,0.01,b_only,120012,1000.0,iter_sketch_mom,1.1380950172082312e-14,0,
warm_start_followup,10,1000.0,0.01,b_only,120012,1000.0,sketch_pre_cold,5.910865770352829e-10,0,
warm_start_followup,10,1000.0,0.01,b_only,120012,1000.0,sketch_pre_warm,2.2238573214961223e-15,0,
warm_start_followup,10,1000.0,0.01,b_only,120012,1000.0,fossils,1.1369654178325634e-17,1,
warm_start_followup,10,1000.0,0.01,b_only,120012,1000.0,spir,1.1257654836820999e-17,1,14
warm_start_followup,10,1000.0,0.01,b_only,120012,1000.0,qr_ref,1.5162522503686057e-16,1,0
warm_start_followup,10,1000.0,0.01,b_only,130013,1000.0,sketch_solve,2.1272341781333707e-07,0,
warm_start_followup,10,1000.0,0.01,b_only,130013,1000.0,iter_sketch_mom,4.5950385712652115e-15,0,
warm_start_followup,10,1000.0,0.01,b_only,130013,1000.0,sketch_pre_cold,9.822443132694875e-10,0,
warm_start_followup,10,1000.0,0.01,b_only,130013,1000.0,sketch_pre_warm,8.497591930586789e-16,0,
warm_start_followup,10,1000.0,0.01,b_only,130013,1000.0,fossils,1.6631847878514807e-17,1,
warm_start_followup,10,1000.0,0.01,b_only,130013,1000.0,spir,1.6038089615676378e-17,1,14
warm_start_followup,10,1000.0,0.01,b_only,130013,1000.0,qr_ref,1.6864031596594392e-16,1,0
warm_start_followup,10,1000.0,0.01,b_only,140014,1000.0,sketch_solve,1.9079868500045537e-07,0,
warm_start_followup,10,1000.0,0.01,b_only,140014,1000.0,iter_sketch_mom,5.560167165228448e-15,0,
warm_start_followup,10,1000.0,0.01,b_only,140014,1000.0,sketch_pre_cold,2.60753674706664e-09,0,
warm_start_followup,10,1000.0,0.01,b_only,140014,1000.0,sketch_pre_warm,1.5266844125166483e-15,0,
warm_start_followup,10,1000.0,0.01,b_only,140014,1000.0,fossils,1.276025909566239e-17,1,
warm_start_followup,10,1000.0,0.01,b_only,140014,1000.0,spir,1.1207133460802305e-17,1,15
warm_start_followup,10,1000.0,0.01,b_only,140014,1000.0,qr_ref,2.0424892718239157e-16,1,0
warm_start_followup,10,1000.0,0.01,b_only,150015,1000.0,sketch_solve,2.842433261254783e-07,0,
warm_start_followup,10,1000.0,0.01,b_only,150015,1000.0,iter_sketch_mom,4.861736153874506e-15,0,
warm_start_followup,10,1000.0,0.01,b_only,150015,1000.0,sketch_pre_cold,3.2737614410521207e-09,0,
warm_start_followup,10,1000.0,0.01,b_only,150015,1000.0,sketch_pre_warm,2.1152426448437203e-15,0,
warm_start_followup,10,1000.0,0.01,b_only,150015,1000.0,fossils,1.2238947850731977e-17,1,
warm_start_followup,10,1000.0,0.01,b_only,150015,1000.0,spir,1.698732357645866e-17,1,14
warm_start_followup,10,1000.0,0.01,b_only,150015,1000.0,qr_ref,3.274041647629797e-16,1,0
warm_start_followup,10,1000.0,0.01,b_only,160016,1000.0,sketch_solve,2.1913554603812194e-07,0,
warm_start_followup,10,1000.0,0.01,b_only,160016,1000.0,iter_sketch_mom,3.4013451316817272e-15,0,
warm_start_followup,10,1000.0,0.01,b_only,160016,1000.0,sketch_pre_cold,1.3966355391836652e-09,0,
warm_start_followup,10,1000.0,0.01,b_only,160016,1000.0,sketch_pre_warm,3.609501980370636e-15,0,
warm_start_followup,10,1000.0,0.01,b_only,160016,1000.0,fossils,1.1653202086265214e-17,1,
warm_start_followup,10,1000.0,0.01,b_only,160016,1000.0,spir,1.0808558708640979e-17,1,15
warm_start_followup,10,1000.0,0.01,b_only,160016,1000.0,qr_ref,1.8062090079765143e-16,1,0
warm_start_followup,10,1000.0,0.01,b_only,170017,1000.0,sketch_solve,2.129430294665099e-07,0,
warm_start_followup,10,1000.0,0.01,b_only,170017,1000.0,iter_sketch_mom,7.540282313862273e-13,0,
warm_start_followup,10,1000.0,0.01,b_only,170017,1000.0,sketch_pre_cold,1.5350804933053765e-09,0,
warm_start_followup,10,1000.0,0.01,b_only,170017,1000.0,sketch_pre_warm,6.852874197741033e-15,0,
warm_start_followup,10,1000.0,0.01,b_only,170017,1000.0,fossils,1.3198059308658812e-17,1,
warm_start_followup,10,1000.0,0.01,b_only,170017,1000.0,spir,1.2058452596101208e-17,1,14
warm_start_followup,10,1000.0,0.01,b_only,170017,1000.0,qr_ref,2.3024450725816157e-16,1,0
warm_start_followup,10,1000.0,0.01,b_only,180018,1000.0,sketch_solve,2.4750196350441975e-07,0,
warm_start_followup,10,1000.0,0.01,b_only,180018,1000.0,iter_sketch_mom,3.700480882436788e-15,0,
warm_start_followup,10,1000.0,0.01,b_only,180018,1000.0,sketch_pre_cold,2.2100198519397527e-09,0,
warm_start_followup,10,1000.0,0.01,b_only,180018,1000.0,sketch_pre_warm,3.6211903758078545e-16,0,
warm_start_followup,10,1000.0,0.01,b_only,180018,1000.0,fossils,1.7300803507546222e-17,1,
warm_start_followup,10,1000.0,0.01,b_only,180018,1000.0,spir,1.558770822626735e-17,1,15
warm_start_followup,10,1000.0,0.01,b_only,180018,1000.0,qr_ref,1.4674912982357885e-16,1,0
warm_start_followup,10,1000.0,0.01,b_only,190019,1000.0,sketch_solve,2.1980857876109988e-07,0,
warm_start_followup,10,1000.0,0.01,b_only,190019,1000.0,iter_sketch_mom,3.8529350822484066e-15,0,
warm_start_followup,10,1000.0,0.01,b_only,190019,1000.0,sketch_pre_cold,1.073995722918029e-08,0,
warm_start_followup,10,1000.0,0.01,b_only,190019,1000.0,sketch_pre_warm,4.554793431859998e-16,0,
warm_start_followup,10,1000.0,0.01,b_only,190019,1000.0,fossils,1.0888475945798669e-17,1,
warm_start_followup,10,1000.0,0.01,b_only,190019,1000.0,spir,1.2155772297629711e-17,1,14
warm_start_followup,10,1000.0,0.01,b_only,190019,1000.0,qr_ref,1.873461536699412e-16,1,0
warm_start_followup,10,1000.0,0.01,b_only,200020,1000.0,sketch_solve,2.5283761522373074e-07,0,
warm_start_followup,10,1000.0,0.01,b_only,200020,1000.0,iter_sketch_mom,3.3098984260920366e-15,0,
warm_start_followup,10,1000.0,0.01,b_only,200020,1000.0,sketch_pre_cold,4.791646132157487e-10,0,
warm_start_followup,10,1000.0,0.01,b_only,200020,1000.0,sketch_pre_warm,2.213199461127909e-15,0,
warm_start_followup,10,1000.0,0.01,b_only,200020,1000.0,fossils,1.5930663392182186e-17,1,
warm_start_followup,10,1000.0,0.01,b_only,200020,1000.0,spir,1.2248842100165489e-17,1,14
warm_start_followup,10,1000.0,0.01,b_only,200020,1000.0,qr_ref,4.1059578344928137e-16,1,0
warm_start_followup,50,1000.0,0.01,b_only,32439,1000.0,sketch_solve,1.7134659837924326e-07,0,
warm_start_followup,50,1000.0,0.01,b_only,32439,1000.0,iter_sketch_mom,5.30100636760483e-15,0,
warm_start_followup,50,1000.0,0.01,b_only,32439,1000.0,sketch_pre_cold,1.0786400374464693e-10,0,
warm_start_followup,50,1000.0,0.01,b_only,32439,1000.0,sketch_pre_warm,3.851563171923245e-15,0,
warm_start_followup,50,1000.0,0.01,b_only,32439,1000.0,fossils,9.761524100190674e-18,1,
warm_start_followup,50,1000.0,0.01,b_only,32439,1000.0,spir,7.276382121882813e-18,1,14
warm_start_followup,50,1000.0,0.01,b_only,32439,1000.0,qr_ref,2.884230346570852e-16,1,0
warm_start_followup,50,1000.0,0.01,b_only,10001,1000.0,sketch_solve,2.768643832483892e-07,0,
warm_start_followup,50,1000.0,0.01,b_only,10001,1000.0,iter_sketch_mom,8.41211751854683e-15,0,
warm_start_followup,50,1000.0,0.01,b_only,10001,1000.0,sketch_pre_cold,9.042869159370945e-10,0,
warm_start_followup,50,1000.0,0.01,b_only,10001,1000.0,sketch_pre_warm,2.810865737106526e-15,0,
warm_start_followup,50,1000.0,0.01,b_only,10001,1000.0,fossils,9.67751258622673e-18,1,
warm_start_followup,50,1000.0,0.01,b_only,10001,1000.0,spir,6.7199844728265424e-18,1,15
warm_start_followup,50,1000.0,0.01,b_only,10001,1000.0,qr_ref,2.6244561257302215e-16,1,0
warm_start_followup,50,1000.0,0.01,b_only,20002,1000.0,sketch_solve,2.3384487069323637e-07,0,
warm_start_followup,50,1000.0,0.01,b_only,20002,1000.0,iter_sketch_mom,3.611836817940185e-15,0,
warm_start_followup,50,1000.0,0.01,b_only,20002,1000.0,sketch_pre_cold,1.2882524747851044e-09,0,
warm_start_followup,50,1000.0,0.01,b_only,20002,1000.0,sketch_pre_warm,7.954486041281353e-16,0,
warm_start_followup,50,1000.0,0.01,b_only,20002,1000.0,fossils,1.1287419526927786e-17,1,
warm_start_followup,50,1000.0,0.01,b_only,20002,1000.0,spir,7.151291186583678e-18,1,15
warm_start_followup,50,1000.0,0.01,b_only,20002,1000.0,qr_ref,2.6055677927028875e-16,1,0
warm_start_followup,50,1000.0,0.01,b_only,30003,1000.0,sketch_solve,2.3604836632656405e-07,0,
warm_start_followup,50,1000.0,0.01,b_only,30003,1000.0,iter_sketch_mom,2.367211696685889e-13,0,
warm_start_followup,50,1000.0,0.01,b_only,30003,1000.0,sketch_pre_cold,3.822162563028775e-10,0,
warm_start_followup,50,1000.0,0.01,b_only,30003,1000.0,sketch_pre_warm,5.468852278462212e-16,0,
warm_start_followup,50,1000.0,0.01,b_only,30003,1000.0,fossils,1.0604137880959839e-17,1,
warm_start_followup,50,1000.0,0.01,b_only,30003,1000.0,spir,1.1190186837618547e-17,1,14
warm_start_followup,50,1000.0,0.01,b_only,30003,1000.0,qr_ref,1.9608795810846838e-16,1,0
warm_start_followup,50,1000.0,0.01,b_only,40004,1000.0,sketch_solve,3.29658726086653e-07,0,
warm_start_followup,50,1000.0,0.01,b_only,40004,1000.0,iter_sketch_mom,4.5784351587735426e-15,0,
warm_start_followup,50,1000.0,0.01,b_only,40004,1000.0,sketch_pre_cold,2.638261125611091e-09,0,
warm_start_followup,50,1000.0,0.01,b_only,40004,1000.0,sketch_pre_warm,2.779837290592574e-15,0,
warm_start_followup,50,1000.0,0.01,b_only,40004,1000.0,fossils,2.441132077540747e-15,0,
warm_start_followup,50,1000.0,0.01,b_only,40004,1000.0,spir,8.812598378445658e-18,1,15
warm_start_followup,50,1000.0,0.01,b_only,40004,1000.0,qr_ref,2.907581156880129e-16,1,0
warm_start_followup,50,1000.0,0.01,b_only,50005,1000.0,sketch_solve,2.1724344375021978e-07,0,
warm_start_followup,50,1000.0,0.01,b_only,50005,1000.0,iter_sketch_mom,2.5871467664384646e-15,0,
warm_start_followup,50,1000.0,0.01,b_only,50005,1000.0,sketch_pre_cold,4.4691101941837985e-10,0,
warm_start_followup,50,1000.0,0.01,b_only,50005,1000.0,sketch_pre_warm,2.5293290584104967e-15,0,
warm_start_followup,50,1000.0,0.01,b_only,50005,1000.0,fossils,7.309519434222396e-18,1,
warm_start_followup,50,1000.0,0.01,b_only,50005,1000.0,spir,7.518626998331473e-18,1,15
warm_start_followup,50,1000.0,0.01,b_only,50005,1000.0,qr_ref,1.239894956558867e-16,1,0
warm_start_followup,50,1000.0,0.01,b_only,60006,1000.0,sketch_solve,2.6167676260881844e-07,0,
warm_start_followup,50,1000.0,0.01,b_only,60006,1000.0,iter_sketch_mom,6.628695141102679e-15,0,
warm_start_followup,50,1000.0,0.01,b_only,60006,1000.0,sketch_pre_cold,7.016101993580962e-10,0,
warm_start_followup,50,1000.0,0.01,b_only,60006,1000.0,sketch_pre_warm,1.8546271833715927e-15,0,
warm_start_followup,50,1000.0,0.01,b_only,60006,1000.0,fossils,1.2326023841828569e-17,1,
warm_start_followup,50,1000.0,0.01,b_only,60006,1000.0,spir,1.245445883790275e-17,1,14
warm_start_followup,50,1000.0,0.01,b_only,60006,1000.0,qr_ref,2.1384728028998143e-16,1,0
warm_start_followup,50,1000.0,0.01,b_only,70007,1000.0,sketch_solve,1.789601142144259e-07,0,
warm_start_followup,50,1000.0,0.01,b_only,70007,1000.0,iter_sketch_mom,5.0932862457963175e-15,0,
warm_start_followup,50,1000.0,0.01,b_only,70007,1000.0,sketch_pre_cold,1.4432171940380813e-09,0,
warm_start_followup,50,1000.0,0.01,b_only,70007,1000.0,sketch_pre_warm,3.5601433582890345e-15,0,
warm_start_followup,50,1000.0,0.01,b_only,70007,1000.0,fossils,1.096093406021402e-17,1,
warm_start_followup,50,1000.0,0.01,b_only,70007,1000.0,spir,9.053332207740471e-18,1,14
warm_start_followup,50,1000.0,0.01,b_only,70007,1000.0,qr_ref,1.2582614849794868e-16,1,0
warm_start_followup,50,1000.0,0.01,b_only,80008,1000.0,sketch_solve,2.5732044900812333e-07,0,
warm_start_followup,50,1000.0,0.01,b_only,80008,1000.0,iter_sketch_mom,1.8759669956965995e-11,0,
warm_start_followup,50,1000.0,0.01,b_only,80008,1000.0,sketch_pre_cold,2.0384221864260735e-10,0,
warm_start_followup,50,1000.0,0.01,b_only,80008,1000.0,sketch_pre_warm,8.482528493658762e-16,0,
warm_start_followup,50,1000.0,0.01,b_only,80008,1000.0,fossils,7.45584393403213e-18,1,
warm_start_followup,50,1000.0,0.01,b_only,80008,1000.0,spir,7.048502003257123e-18,1,14
warm_start_followup,50,1000.0,0.01,b_only,80008,1000.0,qr_ref,9.893365368174437e-16,1,0
warm_start_followup,50,1000.0,0.01,b_only,90009,1000.0,sketch_solve,2.046917640579968e-07,0,
warm_start_followup,50,1000.0,0.01,b_only,90009,1000.0,iter_sketch_mom,3.518832303112481e-15,0,
warm_start_followup,50,1000.0,0.01,b_only,90009,1000.0,sketch_pre_cold,6.926961108499149e-11,0,
warm_start_followup,50,1000.0,0.01,b_only,90009,1000.0,sketch_pre_warm,1.0786148492444204e-15,0,
warm_start_followup,50,1000.0,0.01,b_only,90009,1000.0,fossils,9.453339204726952e-18,1,
warm_start_followup,50,1000.0,0.01,b_only,90009,1000.0,spir,8.392289731998738e-18,1,15
warm_start_followup,50,1000.0,0.01,b_only,90009,1000.0,qr_ref,2.333876884282135e-16,1,0
warm_start_followup,50,1000.0,0.01,b_only,110011,1000.0,sketch_solve,2.1472328555155504e-07,0,
warm_start_followup,50,1000.0,0.01,b_only,110011,1000.0,iter_sketch_mom,4.56148600301159e-15,0,
warm_start_followup,50,1000.0,0.01,b_only,110011,1000.0,sketch_pre_cold,4.637661187851016e-10,0,
warm_start_followup,50,1000.0,0.01,b_only,110011,1000.0,sketch_pre_warm,3.1747332060130024e-15,0,
warm_start_followup,50,1000.0,0.01,b_only,110011,1000.0,fossils,9.589060604435594e-18,1,
warm_start_followup,50,1000.0,0.01,b_only,110011,1000.0,spir,1.4163636359848284e-17,1,14
warm_start_followup,50,1000.0,0.01,b_only,110011,1000.0,qr_ref,3.1060920773517144e-16,1,0
warm_start_followup,50,1000.0,0.01,b_only,120012,1000.0,sketch_solve,1.8824709560047233e-07,0,
warm_start_followup,50,1000.0,0.01,b_only,120012,1000.0,iter_sketch_mom,3.481478582727578e-15,0,
warm_start_followup,50,1000.0,0.01,b_only,120012,1000.0,sketch_pre_cold,1.453152527661548e-09,0,
warm_start_followup,50,1000.0,0.01,b_only,120012,1000.0,sketch_pre_warm,1.7100027212895194e-15,0,
warm_start_followup,50,1000.0,0.01,b_only,120012,1000.0,fossils,1.1485236332899859e-17,1,
warm_start_followup,50,1000.0,0.01,b_only,120012,1000.0,spir,1.8807623565292216e-17,1,14
warm_start_followup,50,1000.0,0.01,b_only,120012,1000.0,qr_ref,1.8278864102427365e-16,1,0
warm_start_followup,50,1000.0,0.01,b_only,130013,1000.0,sketch_solve,2.1660153507993183e-07,0,
warm_start_followup,50,1000.0,0.01,b_only,130013,1000.0,iter_sketch_mom,3.241002979256164e-15,0,
warm_start_followup,50,1000.0,0.01,b_only,130013,1000.0,sketch_pre_cold,2.7524832391657294e-10,0,
warm_start_followup,50,1000.0,0.01,b_only,130013,1000.0,sketch_pre_warm,9.71369214602011e-16,0,
warm_start_followup,50,1000.0,0.01,b_only,130013,1000.0,fossils,9.189466991416239e-18,1,
warm_start_followup,50,1000.0,0.01,b_only,130013,1000.0,spir,9.888063439363777e-18,1,14
warm_start_followup,50,1000.0,0.01,b_only,130013,1000.0,qr_ref,1.9096037841264995e-16,1,0
warm_start_followup,50,1000.0,0.01,b_only,140014,1000.0,sketch_solve,2.026735269320488e-07,0,
warm_start_followup,50,1000.0,0.01,b_only,140014,1000.0,iter_sketch_mom,1.020379226407426e-12,0,
warm_start_followup,50,1000.0,0.01,b_only,140014,1000.0,sketch_pre_cold,1.3386786743142236e-09,0,
warm_start_followup,50,1000.0,0.01,b_only,140014,1000.0,sketch_pre_warm,4.753221210746551e-16,0,
warm_start_followup,50,1000.0,0.01,b_only,140014,1000.0,fossils,8.647939755086659e-18,1,
warm_start_followup,50,1000.0,0.01,b_only,140014,1000.0,spir,1.4198939688631783e-17,1,15
warm_start_followup,50,1000.0,0.01,b_only,140014,1000.0,qr_ref,3.646082606943727e-16,1,0
warm_start_followup,50,1000.0,0.01,b_only,150015,1000.0,sketch_solve,2.570970086901507e-07,0,
warm_start_followup,50,1000.0,0.01,b_only,150015,1000.0,iter_sketch_mom,7.085362818612679e-15,0,
warm_start_followup,50,1000.0,0.01,b_only,150015,1000.0,sketch_pre_cold,1.9744102663407905e-10,0,
warm_start_followup,50,1000.0,0.01,b_only,150015,1000.0,sketch_pre_warm,6.20587767166051e-15,0,
